0.147,0.008,0.4,0
0.189,0,0.4,0
0.275,0,0.5,0
0.1965,0,0.4,0.5
0.3295,0,0.6,0.5
0.2255,0,0.3,1.5
0.345,0,0.4,1
0.242,0,0.9,0
0.282,0,0.8,1
0.2415,0,0.5,0
0.25,0,0.4,0
0.2205,0,0.1,0
0.2365,0,0.2,0
0.2265,0,0,1
0.307,0,0,1
0.1605,0,0.4,1.5
0.195,0,0.7,0
0.0335,0,0.1,0.5
0.0495,0,0.2,0.5
0.0015,0,0,0.5
0.001,0.04,0,0
0,0.04,0,1
0,0.192,0,0
0,0.112,0,0.5
0,0.464,0,0
0,0.376,0,1
0,0.184,0,0.5
0.0005,0.168,0,0.5
0.042,0.024,0,0
0.058,0.104,0,0
0.2195,0.2,0,0
0.2305,0.296,0,0
0.309,0.288,0.2,0.5
0.147,0.304,0,0
0.168,0.312,0.4,0
0.0385,0.12,0.6,0.5
0.114,0.208,0.4,0
0.0275,0.008,0.3,0
0.106,0.016,0.3,0
0.0225,0,0.2,0
0.1095,0.048,0.8,1
0.038,0,0.1,0.5
0.122,0,0.4,0.5
0.0315,0,0.1,0
0.098,0,0.1,0
0.023,0,0,1
0.103,0,0,0.5
0.0195,0,0,0.5
0.108,0.088,0,0
0.0385,0.144,0,0.5
0.1085,0.368,0,0.5
0.014,0.296,0,1
0.025,0.336,0,0.5
0,0.136,0,0
0.0005,0.256,0,0.5
0,0.008,0,0.5
0,0.024,0.3,0
0,0,0.3,0
0,0,0.4,0
0,0,0,0
0.0005,0,0,0
0,0,0,0
0.0435,0,0,0.5
0.029,0,0,0
0.149,0,0,0
0.058,0,0,0
0.134,0,0,0.5
0.0285,0,0,0.5
0.086,0,0,1
0.0135,0,0,1
0.163,0,0,0
0.1495,0,0,0
0.3065,0,0,0
0.2675,0,0,0.5
0.241,0.024,0,1.5
0.243,0.04,0,0.5
0.245,0.28,0,0
0.2335,0.168,0,0
0.2915,0.384,0,0.5
0.134,0.12,0,0
0.152,0.136,0,0.5
0.0315,0,0,0
0.0405,0.08,0,0
0,0,0,0
0,0.008,0,0
0,0,0,0
0.002,0.048,0,0
0,0,0,0
0.0025,0,0,0
0.0005,0,0,0
0.0015,0,0,0
0,0,0,0
0.0005,0.088,0,0
0,0.04,0,0
0.0005,0.208,0,0
0,0.208,0,0
0.0005,0.44,0,0
0.03,0.232,0.3,0
0.0655,0.296,0.5,0
0.111,0.016,0.5,0
0.271,0,0.3,0
0.181,0,0.2,0
0.218,0,0.6,0
0.129,0,0.2,0.5
0.1345,0,0.9,0
0.111,0,0.3,0.5
0.169,0,0.4,0.5
0.1905,0,0.7,0
0.24,0,0.2,0.5
0.217,0,1.3,0
0.289,0,0.3,0
0.2505,0,0.3,0.5
0.2495,0,0.1,0.5
0.253,0,0,0.5
0.1825,0,0.2,0.5
0.1305,0,0.1,0
0.037,0,0,0.5
0.004,0,0.1,0
0,0,0,1
0,0,0,0.5
0,0,0,0
0,0,0,0
0,0.024,0,0
0,0.056,0,0
0,0.144,0,1
0,0.248,0,1
0,0.304,0,0.5
0,0.272,0.2,0.5
0.001,0.136,0,0.5
0.04,0.256,0.1,0.5
0.1445,0.224,0,0
0.256,0.552,0,0
0.208,0.376,0,0
0.1515,0.304,0.1,0
0.0335,0.24,0.3,0
0,0.12,0.4,0
0,0.048,0.2,0
0,0,0.5,0.5
0.001,0,0.2,0
0,0,0.3,0
0.0005,0,0.3,0
0.0005,0,0.4,0
0.0015,0,0.2,0
0.0005,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.002,0.024,0,0.5
0.002,0.184,0,0
0.002,0.28,0,1.5
0,0.272,0,0
0,0.184,0,0
0,0.04,0,0
0,0,0,0.5
0,0,0,0
0,0,0.3,1.5
0,0,0.2,0
0,0,0.1,0.5
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.004,0,0,0
0.002,0,0,0
0.003,0,0,0
0,0,0,0.5
0,0,0,0
0.0005,0,0,0.5
0.0215,0,0,0
0.1395,0,0,0
0.1755,0,0,0
0.2425,0,0,0.5
0.2575,0,0,0.5
0.214,0.08,0,0
0.218,0.216,0,0
0.125,0.384,0,0
0.1245,0.184,0,0.5
0.0395,0.12,0,0.5
0.027,0.008,0,0.5
0.001,0,0,0
0.001,0,0,0
0,0,0,0.5
0,0,0,0.5
0,0,0,0
0,0,0,0.5
0,0,0,0
0,0,0,0
